39,6,1,13,3,6,4,1,2,40,1,2
50,2,1,13,1,10,3,1,2,13,1,2
38,1,4,9,2,8,4,1,2,40,1,2
53,1,3,7,1,8,3,5,2,40,1,2
28,1,1,13,1,9,1,5,1,40,13,2
37,1,11,14,1,10,1,1,1,40,1,2
49,1,8,5,6,12,4,5,1,16,19,2
52,2,4,9,1,10,3,1,2,45,1,1
31,1,11,14,3,9,4,1,1,50,1,1
42,1,1,13,1,10,3,1,2,40,1,1
37,1,2,10,1,10,3,5,2,80,1,1
30,6,1,13,1,9,3,2,2,40,8,1
23,1,1,13,3,6,2,1,1,30,1,2
32,1,6,12,3,11,4,5,2,50,1,2
34,1,9,4,1,4,3,3,2,45,21,2
25,2,4,9,3,5,2,1,2,35,1,2
32,1,4,9,3,7,6,1,2,40,1,2
38,1,3,7,1,11,3,1,2,50,1,2
43,2,11,14,2,10,6,1,1,45,1,1
40,1,14,16,1,9,3,1,2,60,1,1
54,1,4,9,4,12,6,5,1,20,1,2
35,4,8,5,1,5,3,5,2,40,1,2
43,1,3,7,1,4,3,1,2,40,1,2
59,1,4,9,2,14,6,1,1,40,1,2
56,5,1,13,1,14,3,1,2,40,1,1
19,1,4,9,3,13,2,1,2,40,1,2
39,1,4,9,2,10,4,1,2,80,1,2
49,1,4,9,1,13,3,1,2,40,1,2
23,5,6,12,3,2,4,1,2,52,1,2
20,1,2,10,3,11,2,5,2,44,1,2
45,1,1,13,2,10,2,1,2,40,1,2
30,4,2,10,1,6,2,1,2,40,1,2
22,6,2,10,1,12,3,5,2,15,1,2
48,1,3,7,3,7,6,1,2,40,4,2
21,1,2,10,3,7,2,1,2,40,1,2
19,1,4,9,7,6,1,1,1,25,1,2
48,2,6,12,1,9,3,1,2,40,1,2
31,1,8,5,1,7,3,1,2,43,1,2
53,2,1,13,1,9,3,1,2,40,1,2
24,1,1,13,1,14,3,1,2,50,1,2
49,1,4,9,4,6,6,1,1,40,1,2
25,1,4,9,3,8,4,1,2,35,1,2
57,4,1,13,1,9,3,5,2,40,1,1
53,1,4,9,1,7,3,1,2,38,1,2
44,1,11,14,2,10,6,1,1,40,1,2
41,6,7,11,1,13,3,1,2,40,1,2
29,1,7,11,3,9,4,1,2,43,1,2
25,1,2,10,1,10,1,4,1,40,1,2
47,1,5,15,1,9,1,1,1,60,15,1
50,4,1,13,2,10,4,1,2,55,1,1
47,3,4,9,2,10,4,1,2,60,1,2
43,1,2,10,1,14,3,1,2,40,1,1
46,1,15,3,1,7,3,1,2,40,21,2
35,1,7,11,1,12,3,1,2,40,4,2
41,1,4,9,1,6,3,1,2,48,1,2
30,1,4,9,1,7,3,1,2,40,1,2
30,1,1,13,1,11,3,1,2,40,1,2
48,1,4,9,1,4,3,1,2,40,1,2
42,1,14,16,1,9,3,1,2,45,1,1
29,1,2,10,2,14,4,1,2,58,1,2
36,1,4,9,1,13,3,1,2,40,1,2
28,1,2,10,2,6,4,1,1,40,1,2
53,1,4,9,1,6,1,1,1,40,1,1
49,3,2,10,1,10,3,1,2,50,1,1
19,1,2,10,3,9,2,1,2,32,1,2
31,1,1,13,4,11,2,5,1,40,1,2
29,2,1,13,1,11,3,1,2,70,1,1
23,1,2,10,3,7,4,1,2,40,1,2
79,1,2,10,1,9,5,1,2,20,1,2
27,1,4,9,3,12,2,1,2,40,21,2
40,1,6,12,1,6,3,1,2,40,1,2
18,1,3,7,3,12,2,1,1,22,1,2
31,5,9,4,1,5,3,1,2,40,1,2
18,1,4,9,3,11,4,1,2,30,1,2
52,1,1,13,1,12,3,1,2,40,13,2
46,1,4,9,1,12,1,1,1,40,1,2
59,1,4,9,1,11,3,1,2,48,1,2
44,1,4,9,2,13,4,1,1,40,1,1
53,1,4,9,2,11,2,1,1,35,1,2
49,5,4,9,1,2,3,1,2,40,1,1
33,1,11,14,1,9,3,1,2,50,1,2
30,1,8,5,3,11,4,1,2,40,1,2
43,4,14,16,3,9,4,1,1,50,1,1
57,1,7,11,1,9,3,1,2,40,1,2
37,1,2,10,2,13,6,1,1,40,1,2
28,1,2,10,2,7,6,5,1,25,1,2
34,5,1,13,1,2,3,1,2,40,1,1
29,5,2,10,3,8,4,1,2,50,1,2
48,2,14,16,1,9,3,1,2,60,1,1
37,1,2,10,1,11,3,1,2,48,1,1
48,1,6,12,2,10,6,1,1,40,3,2
32,4,4,9,3,12,2,5,2,40,1,2
76,1,11,14,1,10,3,1,2,40,1,1
44,1,1,13,1,10,3,1,2,60,1,1
47,2,11,14,3,9,4,1,1,50,1,2
20,1,2,10,3,14,2,1,1,40,1,2
29,1,4,9,3,13,4,1,2,40,1,2
32,3,4,9,1,13,3,1,2,40,1,1
30,1,3,7,3,8,2,1,2,40,1,2
31,5,4,9,3,6,4,1,1,40,1,2
42,1,4,9,1,8,3,1,2,40,1,2
24,1,1,13,3,11,5,1,2,40,1,2
38,1,5,15,1,9,3,1,2,40,1,1
56,2,4,9,1,12,3,1,2,50,5,1
28,1,2,10,1,11,1,1,1,25,1,2
36,1,4,9,3,7,2,1,1,40,1,2
53,1,8,5,1,8,3,1,2,50,1,2
56,3,2,10,1,11,3,1,2,50,1,2
49,5,7,11,1,13,3,5,2,40,1,1
55,1,2,10,1,11,3,1,2,56,1,2
22,1,4,9,3,13,4,1,2,41,1,2
21,1,2,10,3,12,2,1,1,40,1,2
40,1,1,13,1,10,3,1,2,60,1,2
30,1,1,13,3,10,2,5,2,40,6,2
29,6,1,13,1,9,3,1,2,50,1,1
19,1,2,10,3,12,2,5,2,35,1,2
47,1,1,13,1,10,1,1,1,40,1,1
20,1,2,10,3,6,2,1,1,28,1,2
31,1,6,12,1,6,3,1,2,40,1,1
39,1,2,10,2,13,4,1,2,40,1,2
28,1,6,12,3,11,4,1,1,60,1,2
24,1,4,9,3,12,4,1,1,40,1,2
38,2,4,9,1,13,3,1,2,35,1,2
37,1,1,13,1,11,3,1,2,50,1,2
46,1,6,12,2,14,4,5,1,36,1,2
38,4,11,14,1,9,3,1,2,40,14,1
43,2,4,9,1,13,3,1,2,60,1,2
